pos	tpm	group	gsmid	cell
11338700	0.7	CNTL	GSM3323585	T3
11338720	0.1	CNTL	GSM3323585	T3
11339380	0.5	CNTL	GSM3323585	T3
11339400	0.7	CNTL	GSM3323585	T3
11339420	0.8	CNTL	GSM3323585	T3
11339440	0.7	CNTL	GSM3323585	T3
11339460	0.7	CNTL	GSM3323585	T3
11339480	0.2	CNTL	GSM3323585	T3
11339620	0.5	CNTL	GSM3323585	T3
11339640	0.7	CNTL	GSM3323585	T3
11339660	0.6	CNTL	GSM3323585	T3
11339700	0.3	CNTL	GSM3323585	T3
11339720	0.7	CNTL	GSM3323585	T3
11339740	0.7	CNTL	GSM3323585	T3
11339760	0.1	CNTL	GSM3323585	T3
11339920	0.7	CNTL	GSM3323585	T3
11339940	0.7	CNTL	GSM3323585	T3
11339960	0.2	CNTL	GSM3323585	T3
11340000	0.1	CNTL	GSM3323585	T3
11340020	0.7	CNTL	GSM3323585	T3
11340040	0.7	CNTL	GSM3323585	T3
11340060	0.4	CNTL	GSM3323585	T3
11340360	0.1	CNTL	GSM3323585	T3
11340380	0.7	CNTL	GSM3323585	T3
11340400	0.7	CNTL	GSM3323585	T3
11340420	0.3	CNTL	GSM3323585	T3
11340500	0.7	CNTL	GSM3323585	T3
11340520	0.7	CNTL	GSM3323585	T3
11340540	0.3	CNTL	GSM3323585	T3
11340620	1	CNTL	GSM3323585	T3
11340640	2.1	CNTL	GSM3323585	T3
11340660	2.7	CNTL	GSM3323585	T3
11340680	2	CNTL	GSM3323585	T3
11340700	1.7	CNTL	GSM3323585	T3
11340720	0.8	CNTL	GSM3323585	T3
11340740	0.2	CNTL	GSM3323585	T3
11341020	0.3	CNTL	GSM3323585	T3
11341040	0.7	CNTL	GSM3323585	T3
11341060	0.7	CNTL	GSM3323585	T3
11341160	0.7	CNTL	GSM3323585	T3
11341180	0.7	CNTL	GSM3323585	T3
11341200	0.5	CNTL	GSM3323585	T3
11341260	0.4	CNTL	GSM3323585	T3
11341280	0.7	CNTL	GSM3323585	T3
11341300	0.7	CNTL	GSM3323585	T3
11341380	0.1	CNTL	GSM3323585	T3
11341400	1.2	CNTL	GSM3323585	T3
11341420	2.1	CNTL	GSM3323585	T3
11341440	1.7	CNTL	GSM3323585	T3
11341460	1	CNTL	GSM3323585	T3
11341480	1.4	CNTL	GSM3323585	T3
11341500	1.3	CNTL	GSM3323585	T3
11341520	0.4	CNTL	GSM3323585	T3
11342080	0.7	CNTL	GSM3323585	T3
11342100	0.7	CNTL	GSM3323585	T3
11342120	0.2	CNTL	GSM3323585	T3
11342200	0.3	CNTL	GSM3323585	T3
11342220	0.7	CNTL	GSM3323585	T3
11342240	0.7	CNTL	GSM3323585	T3
11342260	0.2	CNTL	GSM3323585	T3
11342440	0.6	CNTL	GSM3323585	T3
11342460	0.7	CNTL	GSM3323585	T3
11342480	0.6	CNTL	GSM3323585	T3
11342560	0.3	CNTL	GSM3323585	T3
11342580	0.7	CNTL	GSM3323585	T3
11342600	0.7	CNTL	GSM3323585	T3
11342620	0.1	CNTL	GSM3323585	T3
11342720	1	CNTL	GSM3323585	T3
11342740	1.4	CNTL	GSM3323585	T3
11342760	1.2	CNTL	GSM3323585	T3
11342780	0.4	CNTL	GSM3323585	T3
11342800	0.7	CNTL	GSM3323585	T3
11342820	1.3	CNTL	GSM3323585	T3
11342840	2	CNTL	GSM3323585	T3
11342860	2	CNTL	GSM3323585	T3
11342880	1.1	CNTL	GSM3323585	T3
11342960	1.7	CNTL	GSM3323585	T3
11342980	2.5	CNTL	GSM3323585	T3
11343000	1.9	CNTL	GSM3323585	T3
11343020	0.8	CNTL	GSM3323585	T3
11343040	0.1	CNTL	GSM3323585	T3
11336720	0.2	CNTL	GSM3323589	aN
11336740	1.6	CNTL	GSM3323589	aN
11336760	1.6	CNTL	GSM3323589	aN
11336780	0.1	CNTL	GSM3323589	aN
11336940	1	CNTL	GSM3323589	aN
11336960	1.6	CNTL	GSM3323589	aN
11336980	0.8	CNTL	GSM3323589	aN
11337540	1.3	CNTL	GSM3323589	aN
11337560	2.4	CNTL	GSM3323589	aN
11337580	2	CNTL	GSM3323589	aN
11337700	2.4	CNTL	GSM3323589	aN
11337720	2.4	CNTL	GSM3323589	aN
11337740	1.4	CNTL	GSM3323589	aN
11337780	0.8	CNTL	GSM3323589	aN
11337800	2.5	CNTL	GSM3323589	aN
11337820	3.8	CNTL	GSM3323589	aN
11337840	2.2	CNTL	GSM3323589	aN
11337860	3	CNTL	GSM3323589	aN
11337880	3.2	CNTL	GSM3323589	aN
11337900	2.5	CNTL	GSM3323589	aN
11337920	0.5	CNTL	GSM3323589	aN
11338000	1.2	CNTL	GSM3323589	aN
11338020	2.4	CNTL	GSM3323589	aN
11338040	2.3	CNTL	GSM3323589	aN
11338060	0.2	CNTL	GSM3323589	aN
11338140	0.9	CNTL	GSM3323589	aN
11338160	2.4	CNTL	GSM3323589	aN
11338180	2.3	CNTL	GSM3323589	aN
11338200	0.7	CNTL	GSM3323589	aN
11338320	0.7	CNTL	GSM3323589	aN
11338340	0.8	CNTL	GSM3323589	aN
11338360	0.6	CNTL	GSM3323589	aN
11338800	0.8	CNTL	GSM3323589	aN
11338820	0.8	CNTL	GSM3323589	aN
11338840	0.5	CNTL	GSM3323589	aN
11338920	0.5	CNTL	GSM3323589	aN
11338940	0.8	CNTL	GSM3323589	aN
11338960	0.8	CNTL	GSM3323589	aN
11339600	0.8	CNTL	GSM3323589	aN
11339620	0.8	CNTL	GSM3323589	aN
11339640	0.5	CNTL	GSM3323589	aN
11339720	1.1	CNTL	GSM3323589	aN
11339740	2.7	CNTL	GSM3323589	aN
11339760	3	CNTL	GSM3323589	aN
11339780	0.8	CNTL	GSM3323589	aN
11339800	0.2	CNTL	GSM3323589	aN
11339820	1.4	CNTL	GSM3323589	aN
11339840	2	CNTL	GSM3323589	aN
11339860	2.1	CNTL	GSM3323589	aN
11339880	1.6	CNTL	GSM3323589	aN
11339900	0.8	CNTL	GSM3323589	aN
11339920	0.2	CNTL	GSM3323589	aN
11339940	0.8	CNTL	GSM3323589	aN
11339960	0.8	CNTL	GSM3323589	aN
11339980	0.3	CNTL	GSM3323589	aN
11340060	0.8	CNTL	GSM3323589	aN
11340080	0.8	CNTL	GSM3323589	aN
11340100	0.4	CNTL	GSM3323589	aN
11340120	0.3	CNTL	GSM3323589	aN
11340140	0.8	CNTL	GSM3323589	aN
11340160	0.8	CNTL	GSM3323589	aN
11340180	0.2	CNTL	GSM3323589	aN
11340640	0.6	CNTL	GSM3323589	aN
11340660	0.8	CNTL	GSM3323589	aN
11340680	0.7	CNTL	GSM3323589	aN
11340780	0.4	CNTL	GSM3323589	aN
11340800	0.8	CNTL	GSM3323589	aN
11340820	0.8	CNTL	GSM3323589	aN
11340840	0.1	CNTL	GSM3323589	aN
11340860	0.4	CNTL	GSM3323589	aN
11340880	0.8	CNTL	GSM3323589	aN
11340900	1	CNTL	GSM3323589	aN
11340920	0.9	CNTL	GSM3323589	aN
11340940	0.6	CNTL	GSM3323589	aN
11342840	0.1	CNTL	GSM3323589	aN
11342860	0.8	CNTL	GSM3323589	aN
11342880	0.8	CNTL	GSM3323589	aN
11342900	0.4	CNTL	GSM3323589	aN
11342980	0.5	CNTL	GSM3323589	aN
11343000	0.8	CNTL	GSM3323589	aN
11343020	0.8	CNTL	GSM3323589	aN
11336420	1.6	CNTL	GSM3323590	DN
11336440	1.6	CNTL	GSM3323590	DN
11336460	1	CNTL	GSM3323590	DN
11336520	0.7	CNTL	GSM3323590	DN
11336540	1.6	CNTL	GSM3323590	DN
11336560	1.6	CNTL	GSM3323590	DN
11336580	0.2	CNTL	GSM3323590	DN
11337660	0.5	CNTL	GSM3323590	DN
11337680	1.6	CNTL	GSM3323590	DN
11337700	2.8	CNTL	GSM3323590	DN
11337720	2.1	CNTL	GSM3323590	DN
11337740	1.4	CNTL	GSM3323590	DN
11337760	0.6	CNTL	GSM3323590	DN
11337780	0.8	CNTL	GSM3323590	DN
11337800	1.3	CNTL	GSM3323590	DN
11337820	0.8	CNTL	GSM3323590	DN
11337840	0.3	CNTL	GSM3323590	DN
11338100	0.8	CNTL	GSM3323590	DN
11338120	0.8	CNTL	GSM3323590	DN
11338140	1	CNTL	GSM3323590	DN
11338160	0.8	CNTL	GSM3323590	DN
11338180	1	CNTL	GSM3323590	DN
11338200	0.8	CNTL	GSM3323590	DN
11338220	0.8	CNTL	GSM3323590	DN
11338300	0.4	CNTL	GSM3323590	DN
11338320	0.8	CNTL	GSM3323590	DN
11338340	0.8	CNTL	GSM3323590	DN
11338360	0.1	CNTL	GSM3323590	DN
11339100	0.7	CNTL	GSM3323590	DN
11339120	0.8	CNTL	GSM3323590	DN
11339140	0.4	CNTL	GSM3323590	DN
11339180	0.3	CNTL	GSM3323590	DN
11339200	0.8	CNTL	GSM3323590	DN
11339220	0.6	CNTL	GSM3323590	DN
11339920	0.8	CNTL	GSM3323590	DN
11339940	0.8	CNTL	GSM3323590	DN
11339960	0.3	CNTL	GSM3323590	DN
11340080	0.8	CNTL	GSM3323590	DN
11340100	0.8	CNTL	GSM3323590	DN
11340120	0.5	CNTL	GSM3323590	DN
11340980	0.4	CNTL	GSM3323590	DN
11341000	0.8	CNTL	GSM3323590	DN
11341020	0.9	CNTL	GSM3323590	DN
11341040	0.8	CNTL	GSM3323590	DN
11341060	0.8	CNTL	GSM3323590	DN
11341080	0.2	CNTL	GSM3323590	DN
11341100	0.8	CNTL	GSM3323590	DN
11341120	0.8	CNTL	GSM3323590	DN
11341140	0.5	CNTL	GSM3323590	DN
11341180	0.8	CNTL	GSM3323590	DN
11341200	1.6	CNTL	GSM3323590	DN
11341220	1.4	CNTL	GSM3323590	DN
11341240	0.4	CNTL	GSM3323590	DN
11341360	0.8	CNTL	GSM3323590	DN
11341380	0.8	CNTL	GSM3323590	DN
11341400	0.5	CNTL	GSM3323590	DN
11336200	0.6	CNTL	GSM3323593	SM
11336220	0.3	CNTL	GSM3323593	SM
11336360	0.4	CNTL	GSM3323593	SM
11336380	0.6	CNTL	GSM3323593	SM
11336400	0.3	CNTL	GSM3323593	SM
11336820	0.3	CNTL	GSM3323593	SM
11336840	0.6	CNTL	GSM3323593	SM
11336860	0.6	CNTL	GSM3323593	SM
11336880	0.1	CNTL	GSM3323593	SM
11337040	0.1	CNTL	GSM3323593	SM
11337060	0.6	CNTL	GSM3323593	SM
11337080	0.6	CNTL	GSM3323593	SM
11337100	0.2	CNTL	GSM3323593	SM
11337180	0.4	CNTL	GSM3323593	SM
11337200	0.6	CNTL	GSM3323593	SM
11337220	0.6	CNTL	GSM3323593	SM
11337340	0.6	CNTL	GSM3323593	SM
11337360	0.6	CNTL	GSM3323593	SM
11337380	0.4	CNTL	GSM3323593	SM
11338000	0.1	CNTL	GSM3323593	SM
11338020	0.6	CNTL	GSM3323593	SM
11338040	0.6	CNTL	GSM3323593	SM
11338060	0.2	CNTL	GSM3323593	SM
11338080	0.2	CNTL	GSM3323593	SM
11338100	0.6	CNTL	GSM3323593	SM
11338120	0.6	CNTL	GSM3323593	SM
11338140	0.6	CNTL	GSM3323593	SM
11338160	0.6	CNTL	GSM3323593	SM
11338180	0.4	CNTL	GSM3323593	SM
11338280	0.2	CNTL	GSM3323593	SM
11338300	0.6	CNTL	GSM3323593	SM
11338320	0.6	CNTL	GSM3323593	SM
11338340	0.1	CNTL	GSM3323593	SM
11339440	0.1	CNTL	GSM3323593	SM
11339460	0.6	CNTL	GSM3323593	SM
11339480	0.6	CNTL	GSM3323593	SM
11339500	0.6	CNTL	GSM3323593	SM
11339520	0.6	CNTL	GSM3323593	SM
11339540	0.5	CNTL	GSM3323593	SM
11340860	0.6	CNTL	GSM3323593	SM
11340880	0.6	CNTL	GSM3323593	SM
11340900	0.4	CNTL	GSM3323593	SM
11340920	0.9	CNTL	GSM3323593	SM
11340940	1.2	CNTL	GSM3323593	SM
11340960	1	CNTL	GSM3323593	SM
11341000	0.1	CNTL	GSM3323593	SM
11341020	0.6	CNTL	GSM3323593	SM
11341040	0.9	CNTL	GSM3323593	SM
11341060	0.6	CNTL	GSM3323593	SM
11341080	0.6	CNTL	GSM3323593	SM
11341100	0.4	CNTL	GSM3323593	SM
11341120	0.6	CNTL	GSM3323593	SM
11341140	0.5	CNTL	GSM3323593	SM
11341440	0.4	CNTL	GSM3323593	SM
11341460	0.6	CNTL	GSM3323593	SM
11341480	0.5	CNTL	GSM3323593	SM
11341580	0.9	CNTL	GSM3323593	SM
11341600	2.6	CNTL	GSM3323593	SM
11341620	2.7	CNTL	GSM3323593	SM
11341640	1.4	CNTL	GSM3323593	SM
11341720	1.7	CNTL	GSM3323593	SM
11341740	2.4	CNTL	GSM3323593	SM
11341760	2	CNTL	GSM3323593	SM
11341780	0.1	CNTL	GSM3323593	SM
11341860	0.6	CNTL	GSM3323593	SM
11341880	1.2	CNTL	GSM3323593	SM
11341900	1.1	CNTL	GSM3323593	SM
11341920	0.9	CNTL	GSM3323593	SM
11341940	0.5	CNTL	GSM3323593	SM
11341960	0.6	CNTL	GSM3323593	SM
11341980	0.6	CNTL	GSM3323593	SM
11342000	0.4	CNTL	GSM3323593	SM
11342020	0.6	CNTL	GSM3323593	SM
11342040	0.6	CNTL	GSM3323593	SM
11342060	0.1	CNTL	GSM3323593	SM
11342140	0.5	CNTL	GSM3323593	SM
11342160	0.6	CNTL	GSM3323593	SM
11342180	0.4	CNTL	GSM3323593	SM
11342340	0.3	CNTL	GSM3323593	SM
11342360	1	CNTL	GSM3323593	SM
11342380	1.2	CNTL	GSM3323593	SM
11342400	0.8	CNTL	GSM3323593	SM
11342420	1.2	CNTL	GSM3323593	SM
11342440	1.2	CNTL	GSM3323593	SM
11342460	0.5	CNTL	GSM3323593	SM
11342740	0.4	CNTL	GSM3323593	SM
11342760	0.6	CNTL	GSM3323593	SM
11342780	0.6	CNTL	GSM3323593	SM
11342840	0.6	CNTL	GSM3323593	SM
11342860	0.6	CNTL	GSM3323593	SM
11342880	0.3	CNTL	GSM3323593	SM
11343120	0.6	CNTL	GSM3323593	SM
11343140	1.2	CNTL	GSM3323593	SM
11343160	1.2	CNTL	GSM3323593	SM
11343180	0.1	CNTL	GSM3323593	SM
11343200	0.4	CNTL	GSM3323593	SM
11336260	0.3	CNTL	GSM3323594	T3
11336280	0.7	CNTL	GSM3323594	T3
11336300	0.7	CNTL	GSM3323594	T3
11336320	0.1	CNTL	GSM3323594	T3
11336360	0.6	CNTL	GSM3323594	T3
11336380	0.7	CNTL	GSM3323594	T3
11336400	0.3	CNTL	GSM3323594	T3
11336440	0.1	CNTL	GSM3323594	T3
11336460	0.7	CNTL	GSM3323594	T3
11336480	0.7	CNTL	GSM3323594	T3
11336500	0.3	CNTL	GSM3323594	T3
11336580	0.1	CNTL	GSM3323594	T3
11336600	0.7	CNTL	GSM3323594	T3
11336620	0.7	CNTL	GSM3323594	T3
11336640	0.2	CNTL	GSM3323594	T3
11337320	0.6	CNTL	GSM3323594	T3
11337340	0.7	CNTL	GSM3323594	T3
11337360	0.5	CNTL	GSM3323594	T3
11337380	0.2	CNTL	GSM3323594	T3
11337400	0.7	CNTL	GSM3323594	T3
11337420	0.7	CNTL	GSM3323594	T3
11337440	0.2	CNTL	GSM3323594	T3
11337460	0.1	CNTL	GSM3323594	T3
11337480	1.4	CNTL	GSM3323594	T3
11337500	1.4	CNTL	GSM3323594	T3
11337520	0.7	CNTL	GSM3323594	T3
11337720	0.3	CNTL	GSM3323594	T3
11337740	0.7	CNTL	GSM3323594	T3
11337760	1.1	CNTL	GSM3323594	T3
11337780	0.7	CNTL	GSM3323594	T3
11337800	0.5	CNTL	GSM3323594	T3
11337820	1.8	CNTL	GSM3323594	T3
11337840	2.5	CNTL	GSM3323594	T3
11337860	2.9	CNTL	GSM3323594	T3
11337880	1.9	CNTL	GSM3323594	T3
11337900	1.1	CNTL	GSM3323594	T3
11337920	0.2	CNTL	GSM3323594	T3
11337940	0.6	CNTL	GSM3323594	T3
11337960	2.7	CNTL	GSM3323594	T3
11337980	2.7	CNTL	GSM3323594	T3
11338000	1.2	CNTL	GSM3323594	T3
11338020	0.7	CNTL	GSM3323594	T3
11338040	0.5	CNTL	GSM3323594	T3
11338120	0.3	CNTL	GSM3323594	T3
11338140	1.4	CNTL	GSM3323594	T3
11338160	1.8	CNTL	GSM3323594	T3
11338180	1.2	CNTL	GSM3323594	T3
11338200	0.7	CNTL	GSM3323594	T3
11338220	0.9	CNTL	GSM3323594	T3
11338240	1.4	CNTL	GSM3323594	T3
11338260	1.3	CNTL	GSM3323594	T3
11338300	0.1	CNTL	GSM3323594	T3
11338320	0.7	CNTL	GSM3323594	T3
11338340	0.6	CNTL	GSM3323594	T3
